[0x000022ec] | UI.ActionConnector   | WARN  | 2017-09-28 01:34:15,809 | Missing ActionDefinition for sessionDolbyVisionAnalyzeCurrentFrame
[0x000022ec] | UI                   | INFO  | 2017-09-28 01:34:15,859 | Not creating special GL widget for screen 0
[0x000022ec] | UI.GLInterOp         | INFO  | 2017-09-28 01:34:15,861 | Creating interop OpenGL context.
[0x000022ec] | UI.GLInterOp         | INFO  | 2017-09-28 01:34:15,890 | Shared OpenGL context set.
[0x000010cc] | UI.GLInterOp         | INFO  | 2017-09-28 01:34:15,899 | Done waiting for OpenGL context, moving it to current thread.
[0x000022ec] | UI                   | ERROR | 2017-09-28 01:34:16,958 | Failed to find value '5242953' in combo-box
[0x000022ec] | UI.ActionConnector   | WARN  | 2017-09-28 01:34:17,293 | Missing ActionDefinition for copy
[0x000022ec] | UI.ActionConnector   | WARN  | 2017-09-28 01:34:17,293 | Missing ActionDefinition for cut
[0x000022ec] | UI.ActionConnector   | WARN  | 2017-09-28 01:34:17,294 | Missing ActionDefinition for paste
[0x000022ec] | UI.ActionConnector   | WARN  | 2017-09-28 01:34:17,295 | Missing ActionDefinition for markMarkerClearAll
[0x000022ec] | UI.ActionConnector   | WARN  | 2017-09-28 01:34:17,296 | Missing ActionDefinition for controlRewind
[0x000022ec] | UI.ActionConnector   | WARN  | 2017-09-28 01:34:17,296 | Missing ActionDefinition for controlSlowForward
[0x000022ec] | UI.ActionConnector   | WARN  | 2017-09-28 01:34:17,296 | Missing ActionDefinition for controlSlowReverse
[0x000022ec] | UI.ActionConnector   | WARN  | 2017-09-28 01:34:17,299 | Missing ActionDefinition for fairlightActionsPresetsLibrary
[0x000022ec] | UI.ActionConnector   | WARN  | 2017-09-28 01:34:17,300 | Missing ActionDefinition for fairlightActionsLinkGroup
[0x000022ec] | UI.ActionConnector   | WARN  | 2017-09-28 01:34:17,301 | Missing ActionDefinition for markSetRangeTypeUnion
[0x000022ec] | UI.ActionConnector   | WARN  | 2017-09-28 01:34:17,301 | Missing ActionDefinition for markSetRangeTypeIntersecting
[0x000010cc] | UI.GLInterOp         | INFO  | 2017-09-28 01:34:17,434 | Interop OpenCL setup done.
[0x000010cc] | GPUManager           | INFO  | 2017-09-28 01:34:17,435 | Setting channel cache size on GPU board 0 to 0
[0x000010cc] | GPUManager           | INFO  | 2017-09-28 01:34:17,435 | Board manager 0 on thread 0 initialization done on GPU Intel(R) Iris(TM) Graphics 540
[0x000010cc] | GPUManager           | INFO  | 2017-09-28 01:34:30,155 | Completed prebuild of basic OpenCL kernels in 12720 msec
[0x000010cc] | GPUManager           | INFO  | 2017-09-28 01:34:30,155 | Entering loop to wait for commands
[0x00001e94] | GPUManager           | INFO  | 2017-09-28 01:34:30,155 | Finished initializing OpenCL board 0 <Intel(R) Iris(TM) Graphics 540> on platform <Intel(R) OpenCL> clock rate <1050> multiprocessor count <48> global mem size (MB) 6496, available mem size (MB) 0, shared mem size (KB) 64, on SBM[0|0]
[0x00001e94] | GPUManager           | INFO  | 2017-09-28 01:34:30,155 | Hired OpenCL board 0 <Intel(R) Iris(TM) Graphics 540>
[0x00001e94] | GPUManager           | INFO  | 2017-09-28 01:34:30,161 | Let There Be OpenCL Light, Done!!
[0x000022ec] | IO                   | INFO  | 2017-09-28 01:34:30,165 | 0 RED rocket cards available
[0x000022ec] | UI                   | ERROR | 2017-09-28 01:34:30,654 | Failed to find value '0' in combo-box
[0x000022ec] | DbCommon2            | INFO  | 2017-09-28 01:34:38,791 | Initializing fresh database {5187b6d6-6362-4f7b-b480-16ea686bcf84}
[0x000022ec] | DbCommon2            | INFO  | 2017-09-28 01:34:39,269 | Finished upgrading database {5187b6d6-6362-4f7b-b480-16ea686bcf84} from <14.0.0.268> to <14.0.0.035>
[0x000022ec] | DbCommon2            | INFO  | 2017-09-28 01:34:39,356 | Initializing fresh database {ead219b6-eb2b-40f1-9eb6-90d4875c5053}
[0x000022ec] | DbCommon2            | INFO  | 2017-09-28 01:34:39,709 | Finished upgrading database {ead219b6-eb2b-40f1-9eb6-90d4875c5053} from <14.0.0.268> to <14.0.0.035>
[0x000022ec] | SyManager.Signals    | INFO  | 2017-09-28 01:34:40,055 | Current user pointer is changed
[0x000022ec] | UI                   | WARN  | 2017-09-28 01:34:40,058 | UI Persistence - no old persistent data found
[0x000022ec] | UI                   | ERROR | 2017-09-28 01:34:40,550 | Failed to find value '14' in combo-box
[0x000022ec] | UI                   | ERROR | 2017-09-28 01:34:40,564 | Failed to find value '-1' in combo-box
[0x000022ec] | UI.KeyBindings       | WARN  | 2017-09-28 01:34:40,746 | Binding 'Alt+Shift+T' for unknown action fileCollaborationPublish
[0x000022ec] | UI.KeyBindings       | WARN  | 2017-09-28 01:34:40,746 | Binding 'Ctrl+Shift+T' for unknown action fileCollaborationPublishSelected
[0x000022ec] | UI.KeyBindings       | WARN  | 2017-09-28 01:34:40,747 | Binding 'Alt+Shift+U' for unknown action fileCollaborationUpdate
[0x000022ec] | UI.KeyBindings       | WARN  | 2017-09-28 01:34:40,747 | Binding 'Ctrl+Shift+U' for unknown action fileCollaborationUpdateSelected
[0x000022ec] | UI.KeyBindings       | WARN  | 2017-09-28 01:34:40,766 | Binding 'Ctrl+G' for unknown action workspaceRemoteGrading
[0x000022ec] | UI.KeyBindings       | WARN  | 2017-09-28 01:34:40,801 | :/Application/Keyboard/bindings-resolve9.txt: Key sequence Ctrl+Shift+, defined by viewStereoSwitchEyeLeft and editNudgeSwapEditReverse
[0x000022ec] | UI.KeyBindings       | WARN  | 2017-09-28 01:34:40,802 | :/Application/Keyboard/bindings-resolve9.txt: Key sequence Shift+C defined by trimSelectAudioEditPoint and clipShowCurveEditor
[0x000022ec] | UI.KeyBindings       | WARN  | 2017-09-28 01:34:40,802 | :/Application/Keyboard/bindings-resolve9.txt: Key sequence Ctrl+Shift+. defined by editNudgeSwapEditForward and viewStereoSwitchEyeRight
[0x000022ec] | UI.KeyBindings       | WARN  | 2017-09-28 01:34:40,804 | After merging custom hotkeys: Key sequence Up defined by controlClipPrev and fairlightActionsPanTracksUp
[0x000022ec] | UI.KeyBindings       | WARN  | 2017-09-28 01:34:40,804 | After merging custom hotkeys: Key sequence Down defined by fairlightActionsPanTracksDown and controlClipNext
[0x000022ec] | UI.KeyBindings       | WARN  | 2017-09-28 01:34:40,804 | After merging custom hotkeys: Key sequence Ctrl+Shift+, defined by viewStereoSwitchEyeLeft and editNudgeSwapEditReverse
