@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
238,'2018/03/13 16:15:45:693',3,69,392,0.08,0.28,0.39
239,'2018/03/13 16:15:45:709',3,69,392,0.08,0.28,0.39
240,'2018/03/13 16:15:45:726',3,69,392,0.08,0.28,0.39
241,'2018/03/13 16:15:45:743',3,69,392,0.08,0.28,0.39
242,'2018/03/13 16:15:45:759',3,69,392,0.08,0.28,0.39
243,'2018/03/13 16:15:45:776',3,69,392,0.08,0.28,0.39
244,'2018/03/13 16:15:45:793',3,69,392,0.08,0.28,0.39
245,'2018/03/13 16:15:45:809',3,69,392,0.08,0.28,0.39
246,'2018/03/13 16:15:45:826',3,69,392,0.08,0.28,0.39
247,'2018/03/13 16:15:45:843',3,69,392,0.08,0.28,0.39
248,'2018/03/13 16:15:45:864',3,69,392,0.08,0.28,0.39
249,'2018/03/13 16:15:45:876',3,69,392,0.08,0.28,0.39
250,'2018/03/13 16:15:45:893',3,69,392,0.08,0.28,0.39
251,'2018/03/13 16:15:45:909',3,69,392,0.08,0.28,0.39
252,'2018/03/13 16:15:45:926',3,69,392,0.08,0.28,0.39
253,'2018/03/13 16:15:45:943',3,69,392,0.08,0.28,0.39
254,'2018/03/13 16:15:45:959',3,69,392,0.08,0.28,0.39
255,'2018/03/13 16:15:45:976',3,69,392,0.08,0.28,0.39
256,'2018/03/13 16:15:45:993',3,69,392,0.08,0.28,0.39
257,'2018/03/13 16:15:46:009',3,69,392,0.08,0.28,0.39
258,'2018/03/13 16:15:46:026',3,69,392,0.08,0.28,0.39
259,'2018/03/13 16:15:46:043',3,69,392,0.08,0.28,0.39
260,'2018/03/13 16:15:46:059',3,69,392,0.08,0.28,0.39
261,'2018/03/13 16:15:46:076',3,69,392,0.08,0.28,0.39
262,'2018/03/13 16:15:46:093',3,69,392,0.08,0.28,0.39
263,'2018/03/13 16:15:46:109',3,69,392,0.08,0.28,0.39
264,'2018/03/13 16:15:46:126',3,69,392,0.08,0.28,0.39
265,'2018/03/13 16:15:46:143',3,69,392,0.08,0.28,0.39
266,'2018/03/13 16:15:46:159',3,69,392,0.08,0.28,0.39
267,'2018/03/13 16:15:46:176',3,69,392,0.08,0.28,0.39
268,'2018/03/13 16:15:46:193',3,69,392,0.08,0.28,0.39
269,'2018/03/13 16:15:46:209',3,69,392,0.08,0.28,0.39
270,'2018/03/13 16:15:46:226',3,69,392,0.08,0.28,0.39
271,'2018/03/13 16:15:46:243',3,69,392,0.08,0.28,0.39
272,'2018/03/13 16:15:46:259',3,69,392,0.08,0.28,0.39
273,'2018/03/13 16:15:46:276',3,69,392,0.08,0.28,0.39
274,'2018/03/13 16:15:46:293',3,69,392,0.08,0.28,0.39
275,'2018/03/13 16:15:46:309',3,69,392,0.08,0.28,0.39
276,'2018/03/13 16:15:46:326',3,69,392,0.08,0.28,0.39
277,'2018/03/13 16:15:46:343',3,69,392,0.08,0.28,0.39
278,'2018/03/13 16:15:46:359',3,69,392,0.08,0.28,0.39
279,'2018/03/13 16:15:46:376',3,69,392,0.08,0.28,0.39
280,'2018/03/13 16:15:46:393',3,69,392,0.08,0.28,0.39
281,'2018/03/13 16:15:46:409',3,69,392,0.08,0.28,0.39
282,'2018/03/13 16:15:46:426',3,69,392,0.08,0.28,0.39
283,'2018/03/13 16:15:46:443',3,69,392,0.08,0.28,0.39
284,'2018/03/13 16:15:46:459',3,69,392,0.08,0.28,0.39
285,'2018/03/13 16:15:46:476',3,69,392,0.08,0.28,0.39
286,'2018/03/13 16:15:46:492',3,69,392,0.08,0.28,0.39
287,'2018/03/13 16:16:40:405',4,39,39,1,1,1
288,'2018/03/13 16:16:40:421',4,39,39,1,1,1
289,'2018/03/13 16:16:40:438',4,39,39,1,1,1
290,'2018/03/13 16:16:40:455',4,39,39,1,1,1
291,'2018/03/13 16:16:40:471',4,39,39,1,1,1
292,'2018/03/13 16:16:40:488',4,39,39,1,1,1
293,'2018/03/13 16:16:40:505',4,39,39,1,1,1
294,'2018/03/13 16:16:40:521',4,39,39,1,1,1
295,'2018/03/13 16:16:40:538',4,39,39,1,1,1
296,'2018/03/13 16:16:40:555',4,39,39,1,1,1
297,'2018/03/13 16:16:40:571',4,39,39,1,1,1
298,'2018/03/13 16:16:40:588',4,39,39,1,1,1
299,'2018/03/13 16:16:40:605',4,39,39,1,1,1
300,'2018/03/13 16:16:40:621',4,39,39,1,1,1
301,'2018/03/13 16:16:40:638',4,39,39,1,1,1
302,'2018/03/13 16:16:40:655',4,39,39,1,1,1
303,'2018/03/13 16:16:40:671',4,39,39,1,1,1
304,'2018/03/13 16:16:40:688',4,39,39,1,1,1
305,'2018/03/13 16:16:40:705',4,39,39,1,1,1
306,'2018/03/13 16:16:40:721',4,39,39,1,1,1
307,'2018/03/13 16:16:40:738',4,39,39,1,1,1
308,'2018/03/13 16:16:40:755',4,39,39,1,1,1
309,'2018/03/13 16:16:40:771',4,39,39,1,1,1
310,'2018/03/13 16:16:40:788',4,39,39,1,1,1
311,'2018/03/13 16:16:40:805',4,39,39,1,1,1
312,'2018/03/13 16:16:40:821',4,39,39,1,1,1
313,'2018/03/13 16:16:40:838',4,39,39,1,1,1
314,'2018/03/13 16:16:40:855',4,39,39,1,1,1
315,'2018/03/13 16:16:40:871',4,39,39,1,1,1
316,'2018/03/13 16:16:40:888',4,39,39,1,1,1
317,'2018/03/13 16:16:40:905',4,39,39,1,1,1
318,'2018/03/13 16:16:40:924',4,39,39,1,1,1
319,'2018/03/13 16:16:40:938',4,39,39,1,1,1
320,'2018/03/13 16:16:40:955',4,39,39,1,1,1
321,'2018/03/13 16:16:40:971',4,39,39,1,1,1
322,'2018/03/13 16:16:40:988',4,39,39,1,1,1
323,'2018/03/13 16:16:41:005',4,39,39,1,1,1
324,'2018/03/13 16:16:41:021',4,39,39,1,1,1
325,'2018/03/13 16:16:41:038',4,39,39,1,1,1
326,'2018/03/13 16:16:41:055',4,39,39,1,1,1
327,'2018/03/13 16:16:41:071',4,39,39,1,1,1
328,'2018/03/13 16:16:41:088',4,39,39,1,1,1
329,'2018/03/13 16:16:41:105',4,39,39,1,1,1
330,'2018/03/13 16:16:41:121',4,39,39,1,1,1
331,'2018/03/13 16:16:41:138',4,39,39,1,1,1
332,'2018/03/13 16:16:41:155',4,39,39,1,1,1
333,'2018/03/13 16:16:41:171',4,39,39,1,1,1
334,'2018/03/13 16:16:41:188',4,39,39,1,1,1
335,'2018/03/13 16:16:41:205',4,39,39,1,1,1
336,'2018/03/13 16:16:41:221',4,39,39,1,1,1
337,'2018/03/13 16:16:41:238',4,39,39,1,1,1
338,'2018/03/13 16:16:41:254',4,39,39,1,1,1
339,'2018/03/13 16:16:41:271',4,39,39,1,1,1
340,'2018/03/13 16:16:41:288',4,39,39,1,1,1
341,'2018/03/13 16:16:41:305',4,39,39,1,1,1
342,'2018/03/13 16:16:41:321',4,39,39,1,1,1
343,'2018/03/13 16:16:41:338',4,39,39,1,1,1
344,'2018/03/13 16:16:41:355',4,39,39,1,1,1
